tt0008500,A Reckless Romeo,short,1917,23,Comedy Short,6.2,245,nm0000779,director
tt0008510,Revelj,movie,1917,73,Drama,5.5,15,nm0459319,director
tt0008519,A Romance of the Redwoods,movie,1917,70,Adventure Comedy Drama,6.2,871,nm0001124,director
tt0008521,The Rose of Blood,movie,1917,70,Drama,3.7,14,nm0250053,director
tt0008523,The Rough House,short,1917,19,Comedy Short,5.6,1615,nm0000779,director
tt0008526,Runaway Romany,movie,1917,50,Drama Romance,8.1,98,nm0496475,director
tt0008527,Das Rätsel von Bangalor,movie,1918,50,Drama,7.6,10,nm0030742,director
tt0008535,Sapho,movie,1917,50,Drama Romance,4.6,18,nm0285684,director
tt0008536,Satan Triumphant,movie,1917,87,Drama,6.7,240,nm0698839,director
tt0008539,The Sawdust Ring,movie,1917,50,Drama,5.3,30,nm0588056,director
tt0008541,The Scarlet Car,movie,1917,60,Drama,5.4,136,nm0208657,director
tt0008543,The Scarlet Letter,movie,1917,50,Drama,8.0,25,nm0361882,director
tt0008544,The Scarlet Pimpernel,movie,1917,50,Adventure,7.5,31,nm0822801,director
tt0008547,The Scrapper,short,1917,20,Short Western,4.7,48,nm0000406,director
tt0008550,The Secret Game,movie,1917,67,Drama,6.1,135,nm0210352,director
tt0008551,The Secret Man,movie,1917,50,Western,5.0,61,nm0000406,director
tt0008561,Seven Keys to Baldpate,movie,1917,65,Comedy Mystery Thriller,6.1,128,nm0285684,director
tt0008565,She,movie,1917,50,Drama Fantasy Sci-Fi,6.9,25,nm0119138,director
tt0008570,The Silent Lie,movie,1917,60,Drama,3.3,18,nm0909825,director
tt0008571,The Silent Man,movie,1917,61,Western,6.6,118,nm0366586,director
tt0008572,The Silent Master,movie,1917,70,Crime Drama,5.6,14,nm0674600,director
tt0008579,Sirens of the Sea,movie,1917,60,Fantasy,5.3,30,nm0392709,director
tt0008585,Skinner's Baby,movie,1917,50,Comedy Drama,8.0,14,nm0064600,director
tt0008599,Une soirée mondaine,short,1917,7,Comedy Short,6.1,10,nm0224543,director
tt0008605,The Soul Herder,short,1917,30,Short Western,4.5,50,nm0000406,director
tt0008608,Souls Triumphant,movie,1917,50,Drama,6.8,42,nm0639631,director
tt0008622,The Spreading Dawn,movie,1917,50,Drama,6.7,15,nm0872868,director
tt0008623,The Square Deal Man,movie,1917,50,Western,6.9,30,nm0366586,director
tt0008628,Step Lively,short,1917,13,Comedy Short,5.7,61,nm0332531,director
tt0008634,Straight Shooting,movie,1917,62,Drama Western,6.3,767,nm0000406,director
tt0008639,The Sultan's Wife,short,1917,18,Comedy Short,5.6,158,nm0046082,director
tt0008652,A Tale of Two Cities,movie,1917,70,Drama History Romance,6.1,167,nm0515979,director
tt0008657,Tatárjárás,short,1917,32,Drama Short,5.5,31,nm0002031,director
tt0008659,Tears and Smiles,movie,1917,50,Drama,7.4,13,nm0078340,director
tt0008662,Tepeyac,movie,1917,90,Drama,5.8,70,nm0328088,director
tt0008663,A Man There Was,movie,1917,65,Drama War,7.3,2393,nm0803705,director
tt0008666,Thais,movie,1917,70,Drama,6.5,23,nm0050846,director
tt0008670,Thirst,short,1917,23,Comedy Short,5.5,71,nm0382476,director
tt0008671,This Is the Life,movie,1917,50,Comedy Drama,3.3,14,nm0909825,director
tt0008672,Wanted - A Film Actress,movie,1917,52,Comedy,5.9,246,nm0830249,director
tt0008677,The Tiger Woman,movie,1917,60,Drama,5.1,16,nm0068696,director
tt0008679,Tillie Wakes Up,movie,1917,48,Comedy,5.0,507,nm0003193,director
tt0008686,Tom Jones,movie,1917,70,Comedy,8.8,11,nm0172293,director
tt0008687,Tom Sawyer,movie,1917,59,Adventure Comedy Drama,6.1,199,nm0853336,director
tt0008690,The Tornado,short,1917,30,Short Western,5.5,61,nm0000406,director
tt0008696,A Trip Through China,movie,1917,108,Documentary,6.5,35,nm0110979,director
tt0008698,Triumph,movie,1917,50,Drama,5.6,32,nm0208657,director
tt0008706,Twin Kiddies,movie,1917,50,Comedy Drama,6.3,24,nm0454771,director
tt0008710,The Girl from the Marsh Croft,movie,1917,87,Drama,6.6,242,nm0803705,director
tt0008711,Ulbo Garvema,short,1917,15,Short,5.4,6,nm0082914,director
tt0008720,Unknown 274,movie,1917,50,Drama,5.4,16,nm0587754,director
tt0008723,Until They Get Me,movie,1917,58,Drama,6.1,93,nm0097648,director
tt0008731,Vengeance of the Dead,short,1917,40,Drama Short,7.4,13,nm0454771,director
tt0008735,The Vicar of Wakefield,movie,1917,90,Drama Romance,5.7,53,nm0911959,director
tt0008741,The Voice of Conscience,movie,1917,50,Drama,7.4,12,nm0136888,director
tt0008750,The Warfare of the Flesh,movie,1917,70,Drama,5.8,14,nm0912817,director
tt0008759,When Four Do the Same,short,1917,29,Comedy Short,5.2,20,nm0523932,director
tt0008764,The Whip,movie,1917,80,Drama,5.3,69,nm0869665,director
tt0008765,The White Raven,movie,1917,60,Drama,7.1,16,nm0048478,director
tt0008775,Wild and Woolly,movie,1917,72,Comedy Romance Western,6.4,679,nm0256221,director
tt0008779,The Winning of Sally Temple,movie,1917,50,Drama,5.4,13,nm0577654,director
tt0008783,Wolf Lowry,movie,1917,50,Western,6.5,148,nm0366586,director
tt0008784,The Wolf and His Mate,movie,1918,50,Action Adventure Drama,6.3,19,nm1250355,director
tt0008786,The Woman God Forgot,movie,1917,77,History Romance,6.2,119,nm0001124,director
tt0008787,Womanhood  the Glory of the Nation,movie,1917,70,Drama War,8.3,20,nm0085865,director
tt0008797,Young Mother Hubbard,movie,1917,73,Drama,6.2,28,nm0077928,director
tt0008800,Za schastem,short,1917,41,Drama Short,6.7,145,nm0061955,director
tt0008807,The Last Indian Attack,movie,1917,97,Documentary History War,6.5,111,nm0337395,director
tt0008808,$5  000 Reward,movie,1918,50,Mystery,5.9,25,nm0314700,director
tt0008811,A.W.O.L.,short,1918,5,Animation Comedy Short,5.2,219,nm0101038,director
tt0008813,The Accidental Honeymoon,movie,1918,50,Comedy Drama,7.0,13,nm0674600,director
tt0008814,Ace High,movie,1918,50,Drama,7.2,13,nm0721840,director
tt0008817,The Adventure Shop,movie,1919,50,Adventure Comedy Crime,2.4,25,nm0916177,director
tt0008821,Ali Baba and the Forty Thieves,movie,1918,50,Fantasy,2.2,21,nm0291387,director
tt0008822,All Night,movie,1918,58,Comedy Drama,6.0,112,nm0694260,director
tt0008825,Sacrifice,movie,1918,88,Horror Sci-Fi,5.8,34,nm0407778,director
tt0008826,Alraune,movie,1919,80,Horror Sci-Fi,5.3,68,nm0002031,director
tt0008827,Amarilly of Clothes-Line Alley,movie,1918,67,Comedy Romance,6.2,826,nm0624714,director
tt0008828,America's Answer,movie,1918,80,Documentary War,4.6,13,nm0322595,director
tt0008832,Among the Cannibal Isles of the South Pacific,short,1918,16,Documentary Short,4.8,27,nm0425766,director
tt0008836,Anna Karenina,movie,1918,53,Drama,5.3,41,nm0304843,director
tt0008843,Man of Gold,movie,1919,83,Drama,5.8,185,nm0466099,director
tt0008844,Are Crooks Dishonest?,short,1918,13,Comedy Short,6.2,379,nm0695456,director
tt0008845,Arizona,movie,1918,50,Comedy Drama Romance,5.4,28,nm0001196,director
tt0008848,Cupid's Rival,short,1917,28,Comedy Short,4.7,66,nm0319401,director
tt0008851,At the Mercy of Men,movie,1918,50,Drama Thriller,7.0,17,nm0588056,director
tt0008854,The Eyes of the Mummy,movie,1918,63,Drama Horror,5.4,757,nm0523932,director
tt0008860,Back to the Woods,short,1919,10,Comedy Short,5.4,63,nm0730018,director
tt0008861,Back to the Woods,movie,1918,50,Comedy Drama,7.2,14,nm0410271,director
tt0008865,Beans,movie,1918,50,Comedy Thriller,6.0,24,nm0227020,director
tt0008866,Bears and Bad Men,short,1918,19,Comedy Short,5.5,68,nm0783865,director
tt0008873,Believe Me  Xantippe,movie,1918,50,Comedy Romance Western,5.0,15,nm0187981,director
tt0008874,The Bell Boy,short,1918,33,Comedy Short,6.7,1527,nm0000779,director
tt0008875,The Bells,movie,1918,50,Crime Drama Horror,5.0,22,nm0911959,director
tt0008876,The Beloved Blackmailer,movie,1918,50,Comedy Romance,6.8,62,nm0376396,director
tt0008879,The Outlaw and His Wife,movie,1918,72,Drama,7.2,2143,nm0803705,director
tt0008882,Betty Takes a Hand,movie,1918,50,Comedy Drama,7.7,28,nm0227020,director
tt0008884,The Big Idea,short,1917,9,Comedy Short,6.5,234,nm0005803,director
tt0008887,Blackie's Redemption,movie,1919,50,Crime Drama Romance,6.4,15,nm0408429,director
tt0008891,The Blue Bird,movie,1918,75,Family Fantasy,6.9,1052,nm0869665,director
tt0008892,'Blue Blazes' Rawden,movie,1918,65,Drama Western,5.8,131,nm0366586,director
tt0008895,Bobby Bumps Caught in the Jamb,short,1918,5,Animation Comedy Short,5.3,56,nm0403319,director
tt0008899,Bobby Bumps Puts a Beanery on the Bum,short,1918,5,Animation Comedy Family,6.3,116,nm0403319,director
tt0008901,Bobby Bumps at the Dentist,short,1918,3,Animation Comedy Short,5.5,55,nm0403319,director
tt0008905,Bobby Bumps' Disappearing Gun,short,1918,4,Animation Comedy Short,4.8,24,nm0403319,director
tt0008907,The Bond,short,1918,10,Comedy Short,5.4,1208,nm0000122,director
tt0008912,The Border Wireless,movie,1918,50,Action War Western,5.2,17,nm0366586,director
tt0008913,Borrowed Clothes,movie,1918,60,Drama,4.2,13,nm0916665,director
tt0008915,Bound in Morocco,movie,1918,64,Action Comedy Romance,6.0,26,nm0245385,director
tt0008918,Branding Broadway,movie,1918,50,Comedy Romance Western,6.7,34,nm0366586,director
tt0008923,Bread,movie,1918,60,Drama Romance,5.9,56,nm0661844,director
tt0008930,Broadway Love,movie,1918,60,Romance,5.8,195,nm0661844,director
tt0008933,Die Brüder Karamasoff,movie,1920,70,Drama,6.3,25,nm0296193,director
tt0008939,The Burden of Proof,movie,1918,50,Drama,8.1,44,nm0012317,director
tt0008950,Carmen,movie,1918,80,Drama,6.0,422,nm0523932,director
tt0008951,Carmen of the Klondike,movie,1918,75,Adventure Drama Romance,5.0,21,nm0054977,director
tt0008954,The Cavell Case,movie,1918,60,Biography Drama War,6.8,14,nm0012317,director
tt0008955,Cecilia of the Pink Roses,movie,1918,60,Drama,8.5,121,nm0825225,director
tt0008957,The Chief Cook,short,1917,15,Comedy Short,5.1,46,nm0319401,director
tt0008961,The City Slicker,short,1918,12,Comedy Short,6.1,266,nm0695456,director
tt0008966,The Claw,movie,1918,50,Drama,4.6,14,nm0897085,director
tt0008975,The Cook,short,1918,22,Comedy Short,6.6,1966,nm0000779,director
tt0008978,The Craving,movie,1918,50,Drama Horror,4.9,121,nm0285643,director
tt0008990,The Danger Game,movie,1918,50,Comedy,6.9,27,nm0689471,director
tt0008998,De Luxe Annie,movie,1918,72,Crime Drama,7.4,23,nm0922327,director
tt0009001,The Deciding Kiss,movie,1918,50,Drama,7.0,16,nm0115218,director
tt0009010,The Devil's Wheel,movie,1918,50,Drama,5.8,13,nm1250355,director
tt0009014,The Tenth Symphony,movie,1918,80,Drama,6.0,238,nm0304098,director
tt0009015,Do You Love Your Wife?,short,1919,13,Comedy Short,5.3,120,nm0730018,director
tt0009017,Dodging a Million,movie,1918,60,Comedy,7.8,39,nm0875869,director
tt0009020,A Doll's House,movie,1918,50,Drama,7.3,23,nm0869665,director
tt0009021,Dombey and Son,movie,1919,60,Drama,5.2,13,nm0002061,director
tt0009026,The Dream Lady,movie,1918,54,Comedy Romance,6.4,149,nm0933368,director
tt0009037,The Enemy Within,movie,1918,61,\N,7.4,7,nm0823969,director
tt0009040,Eve's Daughter,movie,1918,50,Comedy Drama,7.8,14,nm0456804,director
tt0009041,Every Mother's Son,movie,1918,50,Drama,4.5,14,nm0909825,director
tt0009045,The Extra-Quick Lunch,short,1918,6,Animation Comedy Short,5.4,125,nm0101038,director
tt0009047,The Eyes of Julia Deep,movie,1918,57,Comedy Drama,6.5,52,nm0408937,director
tt0009048,The Eyes of Mystery,movie,1918,50,Mystery,8.6,14,nm0115218,director
tt0009051,The Rosentopf Case,short,1918,30,Comedy Short,5.9,30,nm0523932,director
tt0009053,Fame and Fortune,movie,1918,50,Western,7.0,14,nm0721840,director
tt0009062,The Merry Jail,movie,1917,48,Comedy,6.1,649,nm0523932,director
tt0009070,The Firefly of France,movie,1918,50,Drama,6.2,13,nm0187981,director
tt0009071,Fireman Save My Child,short,1918,8,Comedy Short,5.6,107,nm0332531,director
tt0009079,The Floor Below,movie,1918,60,Comedy Drama,6.3,61,nm0046082,director
tt0009082,Follow the Crowd,short,1918,10,Comedy Short,5.6,55,nm0332531,director
tt0009086,The Forbidden City,movie,1918,62,Drama Romance,5.4,333,nm0291548,director
tt0009088,Frauds and Frenzies,short,1918,21,Comedy Short,6.0,156,nm0783865,director
tt0009089,Frei Bonifácio,short,1918,26,Comedy Short,5.8,13,nm0657928,director
tt0009096,The Lighthouse Keeper's Daughter,movie,1918,63,Drama,5.6,37,nm0459319,director
tt0009099,A Gasoline Wedding,short,1918,9,Comedy Short,6.4,247,nm0332531,director
tt0009104,The Ghost of Rosy Taylor,movie,1918,59,Drama,6.6,81,nm0806143,director
tt0009109,The Girl Who Stayed at Home,movie,1919,60,Drama War,6.3,146,nm0000428,director
tt0009116,The Glorious Adventure,movie,1918,50,Drama,6.8,15,nm0377126,director
tt0009118,The Goat,movie,1918,50,Comedy,7.8,14,nm0187981,director
tt0009123,Good Night  Nurse!,short,1918,26,Comedy Short,6.1,1350,nm0000779,director
tt0009125,The Good Sport,short,1918,14,Comedy Short,4.4,40,nm0247827,director
tt0009128,The Great Adventure,movie,1918,50,Drama,6.6,24,nm0349785,director
tt0009130,The Great Love,movie,1918,70,Drama War,6.7,72,nm0000428,director
tt0009131,The Great Romance,movie,1919,60,Adventure Romance,2.6,24,nm0653253,director
tt0009133,The Greatest Thing in Life,movie,1918,70,Drama Romance War,7.0,88,nm0000428,director
tt0009136,The Gulf Between,movie,1917,70,Comedy Drama,6.2,30,nm0681151,director
tt0009137,The Gun Woman,movie,1918,50,Western,7.0,34,nm0097648,director
tt0009142,He Comes Up Smiling,movie,1918,50,Adventure Comedy Romance,6.1,68,nm0245385,director
tt0009143,Headin' South,movie,1918,50,Western,7.0,19,nm0245385,director
tt0009144,Hear 'Em Rave,short,1918,11,Comedy Short,5.4,70,nm0695456,director
tt0009145,The Heart of Humanity,movie,1918,105,Drama Romance War,6.0,115,nm0392709,director
tt0009150,Hearts of the World,movie,1918,117,Drama War,6.6,1128,nm0000428,director
tt0009153,Hell Bent,movie,1918,53,Western,6.0,448,nm0000406,director
tt0009159,Her Body in Bond,movie,1918,60,Drama,7.4,13,nm0502752,director
tt0009170,Here Come the Girls,short,1918,10,Comedy Short,5.6,14,nm0382476,director
tt0009171,Hey There,short,1918,10,Comedy Short,6.2,193,nm0332531,director
tt0009179,His Day Out,short,1918,20,Comedy Short,5.5,56,nm0319401,director
tt0009185,His Royal Highness,movie,1918,50,Adventure,5.9,20,nm0085877,director
tt0009193,O Homem dos Olhos Tortos,movie,1918,92,Crime Thriller,5.7,23,nm0500749,director
tt0009198,Hoot Mon!,short,1919,10,Comedy Short,6.7,18,nm0730018,director
tt0009204,The House of Hate,movie,1918,410,Action Drama,6.4,31,nm0782707,director
tt0009205,The House of Mirth,movie,1918,60,Drama,7.5,23,nm0135052,director
tt0009208,How Could You  Jean?,movie,1918,50,Comedy Drama,7.6,14,nm0853336,director
tt0009209,Huck and Tom,movie,1918,50,Comedy Drama,6.7,34,nm0853336,director
tt0009212,The Hun Within,movie,1918,50,Drama Thriller War,6.4,22,nm0936767,director
tt0009214,Huns and Hyphens,short,1918,20,Comedy Short,6.0,100,nm0783865,director
tt0009219,I'll Say So,movie,1918,50,Comedy War,4.1,16,nm0909825,director
